Week,Agent_ID,Strategy,Risk_Tolerance,Memory_Length,Decision,Actual_Attendance
1,0,Average,61,2,Go,72
1,1,Average,66,2,Go,72
1,2,Optimist,71,3,Go,72
1,3,Pessimist,72,3,Stay,72
1,4,Pessimist,63,3,Go,72
1,5,Average,62,2,Go,72
1,6,Average,61,2,Go,72
1,7,Optimist,66,3,Go,72
1,8,Average,60,2,Go,72
1,9,Pessimist,66,3,Stay,72
1,10,Optimist,68,3,Go,72
1,11,Pessimist,73,3,Stay,72
1,12,Pessimist,65,3,Stay,72
1,13,Pessimist,64,3,Go,72
1,14,Average,74,2,Go,72
1,15,Pessimist,69,3,Stay,72
1,16,Optimist,67,3,Go,72
1,17,Average,63,2,Go,72
1,18,Optimist,63,3,Stay,72
1,19,Average,68,2,Go,72
1,20,Pessimist,63,3,Go,72
1,21,Pessimist,68,3,Stay,72
1,22,Average,64,2,Go,72
1,23,Average,73,2,Go,72
1,24,Pessimist,75,3,Stay,72
1,25,Pessimist,67,3,Stay,72
1,26,Optimist,75,3,Go,72
1,27,Optimist,67,3,Go,72
1,28,Pessimist,61,3,Go,72
1,29,Average,74,2,Go,72
1,30,Pessimist,63,3,Go,72
1,31,Pessimist,66,3,Stay,72
1,32,Average,64,2,Go,72
1,33,Average,73,2,Go,72
1,34,Average,69,2,Go,72
1,35,Average,61,2,Go,72
1,36,Average,71,2,Go,72
1,37,Optimist,70,3,Go,72
1,38,Optimist,65,3,Go,72
1,39,Optimist,72,3,Go,72
1,40,Average,60,2,Go,72
1,41,Pessimist,67,3,Stay,72
1,42,Optimist,67,3,Go,72
1,43,Average,62,2,Go,72
1,44,Pessimist,74,3,Stay,72
1,45,Pessimist,72,3,Stay,72
1,46,Optimist,68,3,Go,72
1,47,Pessimist,66,3,Stay,72
1,48,Average,75,2,Go,72
1,49,Average,73,2,Go,72
1,50,Average,73,2,Go,72
1,51,Pessimist,73,3,Stay,72
1,52,Average,72,2,Go,72
1,53,Average,61,2,Go,72
1,54,Pessimist,63,3,Go,72
1,55,Optimist,70,3,Go,72
1,56,Optimist,60,3,Stay,72
1,57,Optimist,66,3,Go,72
1,58,Average,61,2,Go,72
1,59,Average,60,2,Go,72
1,60,Average,70,2,Go,72
1,61,Average,72,2,Go,72
1,62,Pessimist,68,3,Stay,72
1,63,Optimist,61,3,Stay,72
1,64,Average,66,2,Go,72
1,65,Pessimist,71,3,Stay,72
1,66,Pessimist,62,3,Go,72
1,67,Optimist,60,3,Stay,72
1,68,Optimist,61,3,Stay,72
1,69,Average,66,2,Go,72
1,70,Optimist,71,3,Go,72
1,71,Average,72,2,Go,72
1,72,Optimist,69,3,Go,72
1,73,Optimist,74,3,Go,72
1,74,Average,72,2,Go,72
1,75,Average,70,2,Go,72
1,76,Optimist,62,3,Stay,72
1,77,Optimist,63,3,Stay,72
1,78,Pessimist,74,3,Stay,72
1,79,Average,73,2,Go,72
1,80,Pessimist,60,3,Go,72
1,81,Average,62,2,Go,72
1,82,Optimist,68,3,Go,72
1,83,Optimist,60,3,Stay,72
1,84,Average,60,2,Go,72
1,85,Average,66,2,Go,72
1,86,Average,71,2,Go,72
1,87,Optimist,75,3,Go,72
1,88,Optimist,68,3,Go,72
1,89,Optimist,68,3,Go,72
1,90,Pessimist,67,3,Stay,72
1,91,Pessimist,72,3,Stay,72
1,92,Average,72,2,Go,72
1,93,Pessimist,63,3,Go,72
1,94,Pessimist,63,3,Go,72
1,95,Average,69,2,Go,72
1,96,Pessimist,71,3,Stay,72
1,97,Average,65,2,Go,72
1,98,Average,64,2,Go,72
1,99,Pessimist,62,3,Go,72
2,0,Average,61,2,Go,72
2,1,Average,66,2,Go,72
2,2,Optimist,71,3,Go,72
2,3,Pessimist,72,3,Stay,72
2,4,Pessimist,63,3,Go,72
2,5,Average,62,2,Go,72
2,6,Average,61,2,Go,72
2,7,Optimist,66,3,Go,72
2,8,Average,60,2,Go,72
2,9,Pessimist,66,3,Stay,72
2,10,Optimist,68,3,Go,72
2,11,Pessimist,73,3,Stay,72
2,12,Pessimist,65,3,Stay,72
2,13,Pessimist,64,3,Go,72
2,14,Average,74,2,Go,72
2,15,Pessimist,69,3,Stay,72
2,16,Optimist,67,3,Go,72
2,17,Average,63,2,Go,72
2,18,Optimist,63,3,Stay,72
2,19,Average,68,2,Go,72
2,20,Pessimist,63,3,Go,72
2,21,Pessimist,68,3,Stay,72
2,22,Average,64,2,Go,72
2,23,Average,73,2,Go,72
2,24,Pessimist,75,3,Stay,72
2,25,Pessimist,67,3,Stay,72
2,26,Optimist,75,3,Go,72
2,27,Optimist,67,3,Go,72
2,28,Pessimist,61,3,Go,72
2,29,Average,74,2,Go,72
2,30,Pessimist,63,3,Go,72
2,31,Pessimist,66,3,Stay,72
2,32,Average,64,2,Go,72
2,33,Average,73,2,Go,72
2,34,Average,69,2,Go,72
2,35,Average,61,2,Go,72
