Week,Agent_ID,Strategy,Memory_Length,Risk_Tolerance,A_weighted,Decision,Actual_Attendance
1,0,Average,2,50,,Stay,24
1,1,Average,3,57,,Go,24
1,2,Optimist,2,73,,Go,24
1,3,Optimist,4,73,,Go,24
1,4,Average,2,68,,Go,24
1,5,Pessimist,2,50,,Stay,24
1,6,Optimist,2,57,,Go,24
1,7,Average,4,50,,Go,24
1,8,Average,2,72,,Stay,24
1,9,Average,4,67,,Go,24
1,10,Pessimist,2,64,,Stay,24
1,11,Average,3,75,,Stay,24
1,12,Optimist,2,72,,Go,24
1,13,Pessimist,3,58,,Stay,24
1,14,Optimist,2,74,,Go,24
1,15,Pessimist,2,52,,Stay,24
1,16,Pessimist,2,61,,Stay,24
1,17,Pessimist,4,58,,Stay,24
1,18,Optimist,4,64,,Go,24
1,19,Average,2,62,,Stay,24
1,20,Optimist,4,59,,Go,24
1,21,Average,4,61,,Go,24
1,22,Average,2,72,,Stay,24
1,23,Optimist,2,71,,Go,24
1,24,Optimist,3,52,,Go,24
1,25,Optimist,2,62,,Go,24
1,26,Pessimist,3,70,,Stay,24
1,27,Pessimist,2,61,,Stay,24
1,28,Pessimist,2,71,,Stay,24
1,29,Pessimist,4,71,,Stay,24
1,30,Average,2,69,,Stay,24
1,31,Average,2,67,,Go,24
1,32,Average,2,55,,Go,24
1,33,Pessimist,3,58,,Stay,24
1,34,Average,4,67,,Stay,24
1,35,Optimist,4,60,,Go,24
1,36,Optimist,2,51,,Go,24
1,37,Pessimist,3,58,,Stay,24
1,38,Optimist,2,68,,Go,24
1,39,Average,3,56,,Go,24
1,40,Average,3,62,,Go,24
1,41,Average,3,54,,Go,24
1,42,Pessimist,2,57,,Stay,24
1,43,Average,4,67,,Stay,24
1,44,Pessimist,4,68,,Stay,24
1,45,Pessimist,4,62,,Stay,24
1,46,Pessimist,2,54,,Stay,24
1,47,Average,3,52,,Stay,24
1,48,Optimist,2,54,,Go,24
1,49,Average,2,75,,Go,24
1,50,Average,3,69,,Go,24
1,51,Optimist,3,62,,Go,24
1,52,Average,3,66,,Go,24
1,53,Pessimist,4,50,,Stay,24
1,54,Average,4,53,,Stay,24
1,55,Average,4,74,,Stay,24
1,56,Pessimist,4,60,,Stay,24
1,57,Optimist,3,63,,Go,24
1,58,Optimist,3,50,,Go,24
1,59,Average,4,58,,Go,24
1,60,Average,2,66,,Stay,24
1,61,Optimist,4,59,,Go,24
1,62,Average,4,69,,Stay,24
1,63,Optimist,2,61,,Go,24
1,64,Optimist,4,74,,Go,24
1,65,Average,2,69,,Stay,24
1,66,Pessimist,3,50,,Stay,24
1,67,Optimist,3,75,,Go,24
1,68,Pessimist,2,51,,Stay,24
1,69,Optimist,4,52,,Go,24
1,70,Optimist,4,65,,Go,24
1,71,Optimist,4,74,,Go,24
1,72,Optimist,2,71,,Go,24
1,73,Pessimist,4,55,,Stay,24
1,74,Pessimist,4,69,,Stay,24
1,75,Pessimist,2,67,,Stay,24
1,76,Average,4,56,,Stay,24
1,77,Average,3,62,,Go,24
1,78,Average,4,61,,Go,24
1,79,Pessimist,4,64,,Stay,24
1,80,Optimist,2,57,,Go,24
1,81,Optimist,3,50,,Go,24
1,82,Average,4,57,,Go,24
1,83,Average,2,50,,Go,24
1,84,Optimist,4,70,,Go,24
1,85,Optimist,2,52,,Go,24
1,86,Optimist,3,52,,Go,24
1,87,Average,2,58,,Stay,24
1,88,Average,3,56,,Go,24
1,89,Average,2,73,,Go,24
1,90,Average,4,65,,Go,24
1,91,Optimist,3,75,,Go,24
1,92,Pessimist,2,53,,Stay,24
1,93,Optimist,4,63,,Go,24
1,94,Pessimist,3,63,,Stay,24
1,95,Pessimist,4,51,,Stay,24
1,96,Average,4,70,,Go,24
1,97,Optimist,2,62,,Go,24
1,98,Average,3,75,,Stay,24
1,99,Optimist,2,56,,Go,24
2,0,Average,2,50,36.89999999999999,Go,67
2,1,Average,3,57,,Go,67
2,2,Optimist,2,73,36.89999999999999,Go,67
2,3,Optimist,4,73,,Go,67
2,4,Average,2,68,36.89999999999999,Go,67
2,5,Pessimist,2,50,36.89999999999999,Stay,67
2,6,Optimist,2,57,36.89999999999999,Go,67
2,7,Average,4,50,,Stay,67
2,8,Average,2,72,36.89999999999999,Go,67
2,9,Average,4,67,,Go,67
2,10,Pessimist,2,64,36.89999999999999,Stay,67
2,11,Average,3,75,,Go,67
2,12,Optimist,2,72,36.89999999999999,Go,67
2,13,Pessimist,3,58,,Stay,67
2,14,Optimist,2,74,36.89999999999999,Go,67
2,15,Pessimist,2,52,36.89999999999999,Stay,67
2,16,Pessimist,2,61,36.89999999999999,Stay,67
2,17,Pessimist,4,58,,Stay,67
2,18,Optimist,4,64,,Go,67
2,19,Average,2,62,36.89999999999999,Go,67
2,20,Optimist,4,59,,Go,67
2,21,Average,4,61,,Stay,67
2,22,Average,2,72,36.89999999999999,Go,67
2,23,Optimist,2,71,36.89999999999999,Go,67
2,24,Optimist,3,52,,Go,67
2,25,Optimist,2,62,36.89999999999999,Go,67
2,26,Pessimist,3,70,,Stay,67
2,27,Pessimist,2,61,36.89999999999999,Stay,67
2,28,Pessimist,2,71,36.89999999999999,Stay,67
2,29,Pessimist,4,71,,Stay,67
2,30,Average,2,69,36.89999999999999,Go,67
2,31,Average,2,67,36.89999999999999,Go,67
2,32,Average,2,55,36.89999999999999,Go,67
2,33,Pessimist,3,58,,Stay,67
2,34,Average,4,67,,Stay,67
2,35,Optimist,4,60,,Go,67
2,36,Optimist,2,51,36.89999999999999,Go,67
2,37,Pessimist,3,58,,Stay,67
2,38,Optimist,2,68,36.89999999999999,Go,67
2,39,Average,3,56,,Go,67
2,40,Average,3,62,,Go,67
2,41,Average,3,54,,Stay,67
2,42,Pessimist,2,57,36.89999999999999,Stay,67
2,43,Average,4,67,,Go,67
2,44,Pessimist,4,68,,Stay,67
2,45,Pessimist,4,62,,Stay,67
2,46,Pessimist,2,54,36.89999999999999,Stay,67
2,47,Average,3,52,,Stay,67
2,48,Optimist,2,54,36.89999999999999,Go,67
2,49,Average,2,75,36.89999999999999,Go,67
2,50,Average,3,69,,Stay,67
2,51,Optimist,3,62,,Go,67
2,52,Average,3,66,,Go,67
2,53,Pessimist,4,50,,Stay,67
2,54,Average,4,53,,Stay,67
2,55,Average,4,74,,Stay,67
2,56,Pessimist,4,60,,Stay,67
2,57,Optimist,3,63,,Go,67
2,58,Optimist,3,50,,Go,67
2,59,Average,4,58,,Stay,67
2,60,Average,2,66,36.89999999999999,Go,67
2,61,Optimist,4,59,,Go,67
2,62,Average,4,69,,Go,67
2,63,Optimist,2,61,36.89999999999999,Go,67
2,64,Optimist,4,74,,Go,67
2,65,Average,2,69,36.89999999999999,Go,67
2,66,Pessimist,3,50,,Stay,67
2,67,Optimist,3,75,,Go,67
2,68,Pessimist,2,51,36.89999999999999,Stay,67
2,69,Optimist,4,52,,Go,67
2,70,Optimist,4,65,,Go,67
2,71,Optimist,4,74,,Go,67
2,72,Optimist,2,71,36.89999999999999,Go,67
2,73,Pessimist,4,55,,Stay,67
2,74,Pessimist,4,69,,Stay,67
2,75,Pessimist,2,67,36.89999999999999,Stay,67
2,76,Average,4,56,,Stay,67
2,77,Average,3,62,,Go,67
2,78,Average,4,61,,Go,67
2,79,Pessimist,4,64,,Stay,67
2,80,Optimist,2,57,36.89999999999999,Go,67
2,81,Optimist,3,50,,Go,67
2,82,Average,4,57,,Stay,67
2,83,Average,2,50,36.89999999999999,Go,67
2,84,Optimist,4,70,,Go,67
